layer,neuron_id,primary_concept,primary_AP,secondary_concept,secondary_AP,polarity_score,polarity_flag
6,4328,male,0.7357326794136633,,,0.9999999986408108,dominant
7,1773,male,0.6733129690617463,family,0.2499481531602041,0.6287786434037019,dominant
5,2246,male,0.6357285677120321,family,0.2126335657746936,0.6655277468409464,dominant
4,2130,male,0.6110207990859292,family,0.2229092854872106,0.6351854364763649,dominant
3,2130,male,0.59175865458214,love,0.1482087788414375,0.7495452268532723,dominant
2,1466,male,0.5623756140668799,,,0.9999999982218292,dominant
7,121,family,0.561746540002378,female,0.297653847979193,0.470127847252854,leaning
5,2093,female,0.5378789277734907,love,0.183849105082107,0.6581961176628862,dominant
3,3419,female,0.520191865842607,family,0.3231974979675329,0.3786955937446022,leaning
8,2392,family,0.501528735828495,male,0.3586458195313224,0.2848947743268268,leaning
